No;Nama Menu;Deskripsi;Bahan-Bahan;Cara Masak;Usia Min;Usia Max;Tekstur;Est. Harga;Kalori (kkal);Protein (g);Lemak (g);Zat Besi (mg);Seng (mg);Tag Makanan;Potensi Alergi;Image URL
48;Egg Drop Soup Jagung;Sebagai asupan gizi seimbang, menu **Egg Drop Soup Jagung** ini sangat saya rekomendasikan untuk si Kecil usia 6 bulan ke atas. Kandungan protein 10.7g dan zat besi 1.3mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 5 telur

- 1 wortel besar potong dadu kecil2

- 1 Jagung manis pipil

- 1 bawang merah agak besar / 2-3 bamer kecil (iris-iris)

- 3 baput (iris)

- Sedikit lada

- 2 batang yg besar daun seledri (iris2)

- 1 sdm Tepung tapioca aduk dengan 100 ml air

- 1 sdm minyak wijen

- Secukupnya air untuk kuah

- Kaldu ayam/sapi organik

- Secukupnya Garam

- 2 tetes Stevia";"- Tumis bamer dan baput dengan minyak secukupnya 

- Tambahkan air smpai Semana kuah yg diinginkan (sesuaikan sama jumlah telur) 

- Masukkan wortel, jagung. Masak sampai setengah matang. 

- Masukkan tepung tapioca yg sudah diaduk dgn air. Aduk2 smpai kuah mengental 

- Masukkan telur yg sudah di kocok lepas, diamkan sebentar 10-13 detik. Aduk perlahan searah jarum jam. 

- Masukkan daun seledri, kaldu, garam, stevia 2 tetes. Aduk2 

- Tambahkan 1 sdm minyak wijen 

- Tes rasa. Sajikan soup hangat2. Yummyyy";6;24;Bubur Halus;Rp 8.000;146;10.7;9;1.3;0.8;Gizi Seimbang;Telur, Minyak Wijen;recipes/egg_drop_soup_jagung.jpg
49;Nasi Tim Daging Sapi Wortel;Bunda, menu **Nasi Tim Daging Sapi Wortel** adalah pilihan cerdas untuk fase tumbuh kembang usia 9 bulan. Dengan profil nutrisi yang kaya (11.5g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur nasi tim sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 3 sdm beras, cuci bersih

- 30 gr daging sapi giling

- 1/2 buah wortel, parut kasar

- 1 siung bawang putih, cincang halus

- 1 lembar daun salam

- 300 ml air kaldu sapi/air biasa

- 1 sdt minyak kelapa/minyak sayur";"- Panaskan minyak, tumis bawang putih hingga harum.

- Masukkan daging sapi, aduk hingga berubah warna.

- Tambahkan air kaldu dan daun salam, didihkan.

- Masukkan beras dan wortel, masak dengan api kecil sambil sesekali diaduk.

- Masak hingga air menyusut dan menjadi nasi tim yang lunak.

- Angkat, buang daun salam, sajikan hangat.";9;12;Nasi Tim;Rp 15.000;180;11.5;6;2.5;3.8;Peninggi Badan;Daging Sapi, Wortel;recipes/nasi_tim_daging_sapi_wortel.jpg
50;Bubur Sapi Brokoli Keju;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Bubur Sapi Brokoli Keju**. Menu ini diformulasikan khusus untuk usia 7 bulan dengan fokus pada peninggi badan. Zat besi 2.8mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 2 sdm beras putih

- 30 gr daging sapi giling

- 3 kuntum brokoli, cincang halus

- 1 sdt keju parut

- 1 siung bawang merah, iris tipis

- 250 ml air kaldu sapi";"- Rebus beras dengan air kaldu hingga setengah matang.

- Masukkan daging sapi dan bawang merah, aduk rata.

- Tambahkan brokoli, masak hingga semua bahan lunak dan air menyusut.

- Masukkan keju parut, aduk hingga leleh.

- Haluskan dengan saringan atau blender sesuai tekstur yang diinginkan.

- Sajikan.";7;9;Bubur Halus;Rp 16.500;165;10;5.5;2.8;3.5;Peninggi Badan;Daging Sapi, Brokoli, Keju;recipes/bubur_sapi_brokoli_keju.jpg
51;Sup Bola Daging Sapi;Sebagai asupan gizi seimbang, menu **Sup Bola Daging Sapi** ini sangat saya rekomendasikan untuk si Kecil usia 11 bulan ke atas. Kandungan protein 14.0g dan zat besi 3.0mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur potongan kecil-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 50 gr daging sapi giling

- 1 sdm tepung tapioka

- 1/2 wortel, potong dadu kecil

- 1/2 kentang, potong dadu kecil

- 1 batang daun bawang, iris

- 1 siung bawang putih, haluskan

- 300 ml air kaldu

- Garam dan gula secukupnya (opsional untuk >1 tahun)";"- Campur daging sapi, tapioka, dan sedikit garam, bulatkan kecil-kecil.

- Didihkan air kaldu, masukkan bola daging, masak hingga mengapung.

- Masukkan wortel dan kentang, masak hingga empuk.

- Tambahkan daun bawang dan bawang putih.

- Koreksi rasa, sajikan dengan nasi hangat.";11;24;Makanan Keluarga;Rp 18.000;210;14;7;3;4;Gizi Seimbang;Daging Sapi, Wortel, Kentang;recipes/sup_bola_daging_sapi.jpg
52;Perkedel Kentang Daging Sapi;Bunda, menu **Perkedel Kentang Daging Sapi** adalah pilihan cerdas untuk fase tumbuh kembang usia 10 bulan. Dengan profil nutrisi yang kaya (9.5g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur makanan jari sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 1 buah kentang besar, kukus dan haluskan

- 30 gr daging sapi giling, tumis matang

- 1 butir kuning telur

- 1 batang seledri, iris halus

- Sedikit pala bubuk

- Minyak untuk menggoreng";"- Campur kentang halus, daging sapi tumis, kuning telur, seledri, dan pala bubuk.

- Aduk rata, bentuk bulat pipih.

- Panaskan minyak, goreng perkedel hingga kecokelatan.

- Angkat dan tiriskan. Cocok untuk finger food.";10;24;Makanan Jari;Rp 12.000;195;9.5;8;2.2;3;Penambah Berat Badan;Kentang, Daging Sapi, Telur;recipes/perkedel_kentang_daging_sapi.jpg
53;Semur Hati Sapi Tahu;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Semur Hati Sapi Tahu**. Menu ini diformulasikan khusus untuk usia 8 bulan dengan fokus pada peninggi badan. Zat besi 5.5mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 50 gr hati sapi, rebus dan potong kecil

- 1/2 kotak tahu putih, potong dadu

- 1 siung bawang putih, iris tipis

- 1 butir bawang merah, iris tipis

- 1 sdm kecap manis (pilih yang non-MSG/khusus anak)

- 100 ml air

- 1 sdt minyak untuk menumis";"- Tumis bawang merah dan putih hingga harum.

- Masukkan hati sapi dan tahu, aduk rata.

- Tambahkan kecap manis dan air.

- Masak hingga kuah menyusut dan bumbu meresap.

- Haluskan atau sajikan sesuai kemampuan makan anak.";8;24;Bubur Kasar;Rp 14.000;175;12;6.5;5.5;4.2;Peninggi Badan;Hati Sapi, Tahu, Kedelai;recipes/semur_hati_sapi_tahu.jpg
54;Bubur Hati Ayam Labu Siam;Sebagai asupan peninggi badan, menu **Bubur Hati Ayam Labu Siam** ini sangat saya rekomendasikan untuk si Kecil usia 6 bulan ke atas. Kandungan protein 9.0g dan zat besi 4.8mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 2 sdm beras

- 1 pasang hati ayam (sekitar 30gr), rebus

- 1 potong labu siam, kupas dan potong dadu

- 1 siung bawang putih

- 250 ml air kaldu";"- Rebus beras dan labu siam dengan air kaldu hingga matang lembek.

- Masukkan hati ayam rebus dan bawang putih, masak sebentar.

- Angkat, lalu blender hingga halus.

- Saring jika perlu untuk tekstur yang lebih lembut.";6;8;Bubur Halus;Rp 6.000;140;9;4;4.8;2.5;Peninggi Badan;Hati Ayam, Labu Siam;recipes/bubur_hati_ayam_labu_siam.jpg
55;Nugget Tempe Ayam Wortel;Bunda, menu **Nugget Tempe Ayam Wortel** adalah pilihan cerdas untuk fase tumbuh kembang usia 11 bulan. Dengan profil nutrisi yang kaya (11.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur makanan jari sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 50 gr tempe, kukus dan haluskan

- 50 gr daging ayam giling

- 1/2 wortel, parut halus

- 1 butir telur

- 1 siung bawang putih, haluskan

- Tepung panir secukupnya";"- Campur tempe, ayam, wortel, telur, dan bawang putih. Aduk rata.

- Tuang ke wadah tahan panas, kukus selama 20 menit.

- Dinginkan, potong-potong sesuai selera.

- Balur dengan sedikit tepung panir (opsional), goreng sebentar hingga kecokelatan.";11;24;Makanan Jari;Rp 8.000;190;11;7.5;1.8;1.5;Penambah Berat Badan;Tempe, Ayam, Wortel, Telur;recipes/nugget_tempe_ayam_wortel.jpg
56;Pepes Tahu Telur Puyuh;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Pepes Tahu Telur Puyuh**. Menu ini diformulasikan khusus untuk usia 10 bulan dengan fokus pada gizi seimbang. Zat besi 2.1mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 1 kotak tahu putih, haluskan

- 3 butir telur puyuh, rebus dan kupas

- 1 buah tomat, potong kecil

- 1 siung bawang putih, iris tipis

- 1 lembar daun salam

- Daun pisang untuk membungkus";"- Campur tahu halus, tomat, dan bawang putih.

- Siapkan daun pisang, letakkan adonan tahu, tambahkan daun salam dan telur puyuh di tengahnya.

- Bungkus rapi, sematkan dengan lidi.

- Kukus selama 20-25 menit hingga matang.";10;24;Makanan Keluarga;Rp 7.000;160;10.5;8;2.1;1.2;Gizi Seimbang;Tahu, Telur Puyuh, Tomat;recipes/pepes_tahu_telur_puyuh.jpg
57;Tumis Buncis Daging Cincang;Sebagai asupan gizi seimbang, menu **Tumis Buncis Daging Cincang** ini sangat saya rekomendasikan untuk si Kecil usia 12 bulan ke atas. Kandungan protein 12.5g dan zat besi 2.5mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur potongan kecil-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 50 gr buncis, iris serong tipis

- 30 gr daging sapi cincang

- 1/2 siung bawang bombay, cincang

- 1 siung bawang putih, cincang

- 1 sdm saus tiram (opsional)

- Minyak untuk menumis";"- Panaskan minyak, tumis bawang bombay dan putih hingga layu.

- Masukkan daging cincang, masak hingga berubah warna dan matang.

- Masukkan buncis, aduk rata.

- Tambahkan sedikit air dan saus tiram, masak hingga buncis empuk dan air menyusut.

- Sajikan dengan nasi.";12;24;Makanan Keluarga;Rp 14.000;155;12.5;6;2.5;3.2;Gizi Seimbang;Buncis, Daging Sapi;recipes/tumis_buncis_daging_cincang.jpg
58;Bubur Udang Santan Labu;Bunda, menu **Bubur Udang Santan Labu** adalah pilihan cerdas untuk fase tumbuh kembang usia 8 bulan. Dengan profil nutrisi yang kaya (11.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur kasar sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 30 gr beras

- 4-5 ekor udang kupas, cincang kasar

- 1 potong labu kuning, potong dadu

- 50 ml santan cair

- 1 lembar daun jeruk

- 250 ml air";"- Rebus beras dan labu kuning dengan air hingga menjadi bubur.

- Masukkan udang dan daun jeruk, masak hingga udang berubah warna.

- Tuang santan, aduk rata dan masak hingga mendidih dan matang.

- Angkat dan sajikan (buang daun jeruk).";8;24;Bubur Kasar;Rp 12.000;210;11;9;1.5;1.8;Penambah Berat Badan;Udang, Labu Kuning, Santan;recipes/bubur_udang_santan_labu.jpg
59;Macaroni Schotel Kukus;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Macaroni Schotel Kukus**. Menu ini diformulasikan khusus untuk usia 10 bulan dengan fokus pada penambah berat badan. Zat besi 1.2mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 30 gr makaroni, rebus lunak

- 30 gr daging ayam giling

- 1 butir telur, kocok lepas

- 1 sdm keju parut

- 50 ml susu UHT

- 1/2 wortel, parut";"- Campur makaroni, ayam, telur, keju, susu, dan wortel dalam satu wadah.

- Aduk rata, tuang ke dalam wadah tahan panas atau aluminium foil cup.

- Kukus selama 20 menit hingga set/matang.

- Sajikan hangat.";10;24;Makanan Jari;Rp 10.000;240;12;10;1.2;1;Penambah Berat Badan;Makaroni, Susu, Keju, Telur;recipes/macaroni_schotel_kukus.jpg
60;Sup Ikan Kakap Tomat;Sebagai asupan peninggi badan, menu **Sup Ikan Kakap Tomat** ini sangat saya rekomendasikan untuk si Kecil usia 9 bulan ke atas. Kandungan protein 13.0g dan zat besi 1.0mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur cincang kasar-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 50 gr fillet ikan kakap, potong dadu

- 1 buah tomat merah, potong dadu

- 1 batang daun bawang, iris

- 1 ruas jahe, geprek

- 1 siung bawang putih, iris

- 300 ml air";"- Didihkan air, masukkan jahe dan bawang putih.

- Masukkan ikan kakap, masak hingga berubah warna.

- Masukkan tomat, masak hingga tomat layu dan kuah sedikit merah.

- Tambahkan daun bawang, koreksi rasa.

- Sajikan dengan nasi tim.";9;24;Cincang Kasar;Rp 15.000;130;13;3.5;1;0.8;Peninggi Badan;Ikan Kakap, Tomat;recipes/sup_ikan_kakap_tomat.jpg
61;Mashed Potato Daging Keju;Bunda, menu **Mashed Potato Daging Keju** adalah pilihan cerdas untuk fase tumbuh kembang usia 7 bulan. Dengan profil nutrisi yang kaya (9.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur halus sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 1 buah kentang sedang, kukus

- 30 gr daging sapi giling, tumis hingga matang

- 1 sdm keju parut

- 1 sdm mentega/butter

- 2 sdm susu UHT/ASIP";"- Haluskan kentang kukus selagi hangat.

- Campur dengan mentega dan susu hingga lembut.

- Masukkan daging sapi tumis dan keju parut, aduk rata.

- Sajikan.";7;12;Bubur Halus;Rp 13.000;220;9;8.5;1.5;2.5;Penambah Berat Badan;Kentang, Keju, Susu, Daging Sapi;recipes/mashed_potato_daging_keju.jpg
62;Bolu Kukus Pisang (Tanpa Gula);Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Bolu Kukus Pisang (Tanpa Gula)**. Menu ini diformulasikan khusus untuk usia 10 bulan dengan fokus pada gizi seimbang. Zat besi 0.8mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 2 buah pisang ambon matang, lumatkan

- 1 butir telur

- 3 sdm tepung terigu

- 1 sdm minyak sayur/lelehan mentega";"- Kocok telur hingga berbusa.

- Masukkan pisang lumat dan minyak, aduk rata.

- Tambahkan tepung terigu sedikit demi sedikit sambil diaduk perlahan.

- Tuang ke cetakan bolu kukus.

- Kukus selama 15-20 menit dengan api sedang.

- Angkat dan sajikan sebagai snack.";10;24;Makanan Jari;Rp 6.000;180;5;6;0.8;0.5;Gizi Seimbang;Pisang, Telur, Gandum;recipes/bolu_kukus_pisang.jpg
63;Bubur Kacang Hijau Santan;Sebagai asupan peninggi badan, menu **Bubur Kacang Hijau Santan** ini sangat saya rekomendasikan untuk si Kecil usia 6 bulan ke atas. Kandungan protein 7.0g dan zat besi 2.0mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 3 sdm kacang hijau, rendam semalam

- 1 lembar daun pandan

- 50 ml santan

- 300 ml air";"- Rebus kacang hijau dengan air dan daun pandan hingga sangat lunak dan pecah.

- Masukkan santan, masak sebentar hingga mendidih kembali.

- Angkat, buang daun pandan.

- Saring atau blender hingga halus sesuai usia.

- Sajikan.";6;24;Bubur Halus;Rp 5.000;160;7;5;2;1.5;Peninggi Badan;Kacang Hijau, Santan;recipes/bubur_kacang_hijau_santan.jpg
64;Soto Ayam Kuning MPASI;Bunda, menu **Soto Ayam Kuning MPASI** adalah pilihan cerdas untuk fase tumbuh kembang usia 9 bulan. Dengan profil nutrisi yang kaya (12.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur kasar/nasi tim sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 1 potong ayam (paha/dada)

- 1 butir telur rebus

- 1/2 sdt bumbu kuning halus (bawang merah, putih, kunyit)

- 1 lembar daun jeruk & salam

- 1 batang serai

- 300 ml air

- Tauge pendek (opsional, rebus)";"- Tumis bumbu kuning, daun jeruk, salam, dan serai hingga harum.

- Masukkan ayam, aduk sebentar, lalu tuang air.

- Masak hingga ayam empuk dan matang.

- Suwir-suwir ayam.

- Sajikan kuah soto dengan nasi tim, ayam suwir, dan irisan telur rebus.";9;24;Bubur Kasar;Rp 12.000;190;12;7;1.5;1.2;Gizi Seimbang;Ayam, Telur, Kunyit;recipes/soto_ayam_kuning_mpasi.jpg
65;Puding Alpukat Susu;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Puding Alpukat Susu**. Menu ini diformulasikan khusus untuk usia 8 bulan dengan fokus pada penambah berat badan. Zat besi 0.8mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 1/2 buah alpukat matang

- 1/2 sdt agar-agar plain

- 100 ml susu UHT/ASIP

- 50 ml air";"- Kerok daging alpukat, blender halus dengan sedikit susu. Sisihkan.

- Masak agar-agar dengan air dan sisa susu hingga mendidih.

- Matikan api, tunggu uap panas hilang (hangat kuku).

- Campurkan blenderan alpukat ke dalam larutan agar-agar, aduk cepat hingga rata.

- Tuang ke cetakan, dinginkan di kulkas hingga set.

- Sajikan dingin.";8;24;Puding Lembut;Rp 10.000;185;4;12;0.8;0.6;Penambah Berat Badan;Alpukat, Susu, Agar-agar;recipes/puding_alpukat_susu.jpg
66;Rolade Daging Sapi Kukus;Sebagai asupan gizi seimbang, menu **Rolade Daging Sapi Kukus** ini sangat saya rekomendasikan untuk si Kecil usia 12 bulan ke atas. Kandungan protein 13.5g dan zat besi 2.5mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur makanan keluarga sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 100 gr daging sapi giling

- 1 sdm tepung tapioka

- 1 butir telur, buat dadar tipis

- 1 siung bawang putih, haluskan

- Garam dan merica secukupnya (sedikit saja)";"- Campur daging sapi, tapioka, bawang putih, garam, dan merica. Aduk rata.

- Ambil dadar telur, ratakan adonan daging di atasnya.

- Gulung padat, bungkus dengan aluminium foil atau daun pisang.

- Kukus selama 25-30 menit.

- Dinginkan, potong-potong bulat.

- Bisa dimakan langsung atau digoreng sebentar.";12;24;Makanan Keluarga;Rp 18.000;220;13.5;9;2.5;3.5;Gizi Seimbang;Daging Sapi, Telur;recipes/rolade_daging_sapi_kukus.jpg
67;Nasi Goreng Sayur Telur;Bunda, menu **Nasi Goreng Sayur Telur** adalah pilihan cerdas untuk fase tumbuh kembang usia 12 bulan. Dengan profil nutrisi yang kaya (8.5g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur makanan keluarga sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 1 centong nasi putih

- 1 butir telur

- 1 sdm mix vegetables (wortel, jagung, buncis, kacang polong)

- 1 siung bawang putih, cincang

- 1 sdt kecap manis

- Minyak/mentega untuk menumis";"- Panaskan mentega, tumis bawang putih hingga harum.

- Masukkan telur, buat orak-arik.

- Masukkan mix vegetables, tumis sebentar.

- Masukkan nasi, aduk rata.

- Tambahkan kecap manis, aduk hingga rata dan matang.

- Sajikan.";12;24;Makanan Keluarga;Rp 8.000;250;8.5;8;1.5;1;Gizi Seimbang;Nasi, Telur, Sayuran;recipes/nasi_goreng_sayur_telur.jpg
68;Steak Tempe Saus Tomat;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Steak Tempe Saus Tomat**. Menu ini diformulasikan khusus untuk usia 11 bulan dengan fokus pada gizi seimbang. Zat besi 1.8mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 2 potong tempe, kukus dan haluskan

- 1 sdm daging ayam giling (opsional)

- 1 siung bawang putih, haluskan

- Saus: 1 buah tomat (rebus, buang kulit, blender), tumis dengan sedikit bawang bombay cincang.";"- Campur tempe halus, ayam, dan bawang putih. Bentuk pipih menyerupai steak.

- Panggang di teflon dengan sedikit mentega hingga kecokelatan di kedua sisi.

- Siram dengan saus tomat homemade di atasnya.

- Sajikan dengan kentang kukus atau rebusan sayur.";11;24;Makanan Jari;Rp 7.000;160;10;6;1.8;1.2;Gizi Seimbang;Tempe, Tomat;recipes/steak_tempe_saus_tomat.jpg
69;Bubur Singkong Santan Keju;Sebagai asupan penambah berat badan, menu **Bubur Singkong Santan Keju** ini sangat saya rekomendasikan untuk si Kecil usia 9 bulan ke atas. Kandungan protein 3.0g dan zat besi 0.6mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur kental-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 1 potong singkong, kupas, rebus empuk, haluskan (buang sumbu)

- 100 ml santan

- 1 lembar daun pandan

- 1 sdm keju parut

- Sedikit gula (opsional)";"- Masak singkong halus dengan santan dan daun pandan.

- Aduk terus hingga mengental dan meletup-letup.

- Angkat, sajikan dengan taburan keju parut.

- Cocok untuk snack sore yang mengenyangkan.";9;24;Bubur Kental;Rp 5.000;210;3;8;0.6;0.4;Penambah Berat Badan;Singkong, Santan, Keju;recipes/bubur_singkong_santan_keju.jpg
70;Tim Ikan Patin Kuah Kuning;Bunda, menu **Tim Ikan Patin Kuah Kuning** adalah pilihan cerdas untuk fase tumbuh kembang usia 8 bulan. Dengan profil nutrisi yang kaya (11.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur kasar sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 1 potong ikan patin

- 1/2 tahu putih

- Bumbu halus: kunyit, bawang merah, bawang putih

- 1 batang serai, geprek

- 1 lembar daun salam

- Belimbing wuluh/tomat hijau (opsional untuk rasa segar)

- 200 ml air";"- Tumis bumbu halus, serai, dan daun salam hingga harum.

- Tuang air, didihkan.

- Masukkan ikan patin dan tahu, masak hingga matang.

- Ambil daging ikan (hati-hati duri) dan tahu, lumatkan bersama sedikit kuah.

- Sajikan dengan bubur atau nasi tim.";8;24;Bubur Kasar;Rp 10.000;165;11;7;1.2;1;Peninggi Badan;Ikan Patin, Tahu, Kunyit;recipes/tim_ikan_patin_kuah_kuning.jpg
71;Bakso Ayam Tahu Kuah;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Bakso Ayam Tahu Kuah**. Menu ini diformulasikan khusus untuk usia 10 bulan dengan fokus pada gizi seimbang. Zat besi 1.5mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 50 gr ayam giling

- 1/4 kotak tahu putih, haluskan

- 1 sdm tapioka

- 1 siung bawang putih, haluskan

- Air kaldu ayam

- Daun bawang dan seledri";"- Campur ayam, tahu, tapioka, dan bawang putih. Aduk rata.

- Didihkan air kaldu, bentuk adonan bulat-bulat, masukkan ke air mendidih.

- Masak hingga bakso mengapung.

- Tambahkan daun bawang dan seledri.

- Sajikan hangat.";10;24;Makanan Keluarga;Rp 11.000;180;12;6;1.5;1.2;Gizi Seimbang;Ayam, Tahu;recipes/bakso_ayam_tahu_kuah.jpg
72;Bubur Merah Putih (Beras Merah & Susu);Sebagai asupan gizi seimbang, menu **Bubur Merah Putih (Beras Merah & Susu)** ini sangat saya rekomendasikan untuk si Kecil usia 6 bulan ke atas. Kandungan protein 4.5g dan zat besi 1.2mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 2 sdm tepung beras merah (atau beras merah masak lumat)

- 100 ml air matang

- 50 ml ASI/Sufor";"- Masak tepung beras merah dengan air hingga mengental dan matang (meletup-letup).

- Angkat, biarkan agak hangat.

- Campurkan ASI/Sufor, aduk rata.

- Sajikan segera.";6;8;Bubur Halus;Rp 4.000;110;4.5;3;1.2;1;Gizi Seimbang;Beras Merah, Susu;recipes/bubur_merah_putih.jpg
73;Misoa Kuah Telur Puyuh;Bunda, menu **Misoa Kuah Telur Puyuh** adalah pilihan cerdas untuk fase tumbuh kembang usia 9 bulan. Dengan profil nutrisi yang kaya (7.5g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur mi lembut sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 1/2 keping misoa

- 3 butir telur puyuh, rebus kupas

- 1/2 wortel, iris tipis

- 1 siung bawang putih, cincang

- 250 ml air kaldu ayam

- Daun bawang";"- Tumis bawang putih hingga harum, tuang air kaldu.

- Masukkan wortel, masak hingga setengah matang.

- Masukkan misoa, masak hingga lunak.

- Tambahkan telur puyuh dan daun bawang.

- Angkat dan sajikan.";9;24;Mie Lembut;Rp 8.000;170;7.5;6;1.8;1;Gizi Seimbang;Misoa, Telur Puyuh, Wortel;recipes/misoa_kuah_telur_puyuh.jpg
74;Puree Pisang Alpukat;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Puree Pisang Alpukat**. Menu ini diformulasikan khusus untuk usia 6 bulan dengan fokus pada penambah berat badan. Zat besi 0.5mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 1 buah pisang ambon matang

- 1/2 buah alpukat matang";"- Kerok daging alpukat.

- Potong-potong pisang.

- Blender atau lumatkan keduanya hingga halus tercampur rata.

- Bisa tambahkan sedikit ASI/Sufor untuk mengatur kekentalan.

- Sajikan langsung (jangan disimpan terlalu lama agar tidak berubah warna).";6;8;Bubur Halus;Rp 7.000;190;2.5;10;0.5;0.4;Penambah Berat Badan;Pisang, Alpukat;recipes/puree_pisang_alpukat.jpg
75;Nasi Tim Ayam Jamur;Sebagai asupan peninggi badan, menu **Nasi Tim Ayam Jamur** ini sangat saya rekomendasikan untuk si Kecil usia 10 bulan ke atas. Kandungan protein 11.0g dan zat besi 1.2mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur nasi tim-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 3 sdm beras

- 30 gr ayam cincang

- 2 buah jamur kancing, cincang

- 1 siung bawang putih, cincang

- 1 sdt kecap manis (opsional)

- 1 sdt minyak wijen (opsional)

- 300 ml air kaldu";"- Tumis bawang putih dengan sedikit minyak hingga harum.

- Masukkan ayam dan jamur, tumis hingga matang. Tambahkan kecap dan minyak wijen.

- Siapkan wadah tahan panas, masukkan beras dan air kaldu, lalu taruh tumisan ayam jamur di atasnya.

- Kukus hingga beras menjadi nasi lunak dan matang sempurna.

- Sajikan.";10;24;Nasi Tim;Rp 13.000;200;11;6;1.2;1;Peninggi Badan;Ayam, Jamur;recipes/nasi_tim_ayam_jamur.jpg
